    #         X           Y           Z        CHARGE     ATOM    DISTANCE
  -------------------------------------------------------------------------
   75      3.2897      3.8472      0.9041      0.0039       6      0.4715
   76      3.5015      4.3495      0.8395      0.0012       6      1.0169
   77      3.5633      4.4790      0.8395      0.0019      10      1.0180
   78      5.6044      3.0758      2.5186      2.1667      15      0.4224
   79      6.2720      3.8005      3.0998      1.8486      13      0.3854
   80      2.3714      0.0648      0.0000      0.4613      10      0.4843
   81      3.9314      1.9957      1.8082      0.0815      14      0.3343
   82      2.4824      0.0000      0.0000      0.4981      10      0.5983
   83      3.9089      2.2407      1.4853      0.0649      14      0.3430
   84      5.4006      2.9778      2.6477      0.0190      15      0.3422
   85      5.6183      4.6705      3.7456      0.0233       1      0.0208
   86      1.8750      0.0648      0.0000      0.0242      10      0.0221
   87      4.2107      2.0132      1.6145      1.8402      14      0.3744
   88      3.1916      0.0000      0.0000      0.8283       7      0.5828
   89      5.4020      4.2172      3.7456      0.0072       1      0.4851
   90      3.5345      3.3781      0.8395      0.0014       6      0.4487
   91      2.1227      0.1751      0.4521      0.0066      10      0.5065
   92      4.0859      2.3195      1.8082      0.0423      14      0.0390
   93      4.2982      2.4141      2.1957      0.0042      14      0.4864
   94      6.0022      3.5589      2.9060      0.0215      13      0.4502
   95      6.1440      3.5589      2.9060      0.0160      13      0.3088
   96      5.3705      4.5601      3.2935      0.0045       1      0.5111
   97      4.0696      1.0424      4.0039      0.0036      10      0.7739
   98      4.1404      1.0739      4.1330      0.0238      10      0.6233
   99      4.0907      0.3711      0.1937      0.3388       7      0.5683
  100      2.6242      0.0000      0.0000      0.0715      10      0.7395
  101      4.2112      1.1055      4.2622      0.0288      10      0.4727
  102      2.7661      0.0000      0.0000      0.0334      10      0.8809
  103      5.5273      4.5978      0.0000      0.0840       7      0.4706
  104      2.9079      0.0000      0.0000      0.0365       7      0.8657
  105      4.5459      1.0012      0.3875      0.8198       4      0.6187
  106      3.0498      0.0000      0.0000      0.0375       7      0.7242
  107      6.0870      3.3173      2.7123      0.5301      13      0.4583
  108      4.5818      0.6093      0.9041      0.1733       4      0.5899
  109      6.5903      1.6376      4.5851      0.1361       7      0.6121
  110      7.2188      2.2064      4.2622      0.6563       3      0.5460
  111      4.8699      0.5919      1.0978      0.8968       4      0.5813
  112      6.3069      4.7240      0.5166      0.0105       7      0.6331
  113      6.6799      1.2840      4.1976      0.3315       7      0.5911
  114      4.0423      0.0946      0.3875      0.0252       7      0.5125
  115      4.3696      2.3195      1.8082      0.0251      14      0.3155
  116      6.5285      1.5081      4.5851      0.0020       7      0.4690
  117      6.3442      3.2351      2.9060      0.0360      13      0.3204
  118      4.5114      2.3195      1.8082      0.0237      14      0.4571
  119      8.8920      5.6228      4.1976      0.9770       7      0.5652
  120      6.3217      3.4801      2.5832      0.0355      13      0.3322
  121      6.6521      1.7671      4.5851      0.0043       7      0.7553
  122      7.1311      1.8369      3.8101      0.2381       3      0.5918
  123      5.2236      2.8989      2.3248      0.0397      15      0.0413
  124      5.0821      2.8359      2.0665      0.0160      15      0.3370
  125      6.6402      3.6220      3.1644      0.0693      13      0.3489
  126      6.8977      4.0083      1.0333      0.0707       2      0.4900
  127      6.8269      3.9767      0.9041      0.0240       2      0.6406
  128      6.6845      4.1029      1.4207      0.0024       2      0.4586
  129      6.2509      3.4485      2.4540      0.0112      13      0.4823
  130      6.4277      3.5589      2.9060      0.0469      13      0.0395
  131      6.6223      3.8180      2.9060      0.0260      13      0.3303
  132      6.2824      3.1056      2.9060      0.0094      13      0.4631
  133      6.0238      4.5978      0.0000      0.0247       7      0.0413
  134      5.9517      0.4274      1.4853      0.1182      11      0.6036
  135      8.3246      5.6228      4.1976      0.0068       7      0.4981
  136      6.7824      3.5589      2.9060      0.0509      13      0.3326
  137      5.8098      0.4274      1.4853      0.0074      11      0.7453
  138      6.0935      0.4274      1.4853      0.0066      11      0.4620
  139      6.8222      1.1894      3.8101      0.0022       7      0.9619
  140      4.8290      1.1274      0.9041      0.0233       4      0.0206
  141      6.1010      1.4894      0.0000      0.1832      12      0.3375
  142      5.9945      1.5052      0.0646      0.0297      12      0.4440
  143      5.7674      4.2093      0.0000      0.0026       7      0.4683
  144      7.1575      1.9507      3.7456      0.0035       3      0.4755
  145      5.0768      1.2377      1.3562      0.0055       4      0.5113
  146      5.2853      1.5052      0.0646      0.0025       4      1.0309
  147      7.6615      2.4812      4.3268      0.0229       3      0.6488
  148      6.6145      3.8821      0.5166      0.0017       9      1.0863
  149      7.5907      2.4496      4.1976      0.0101       3      0.4986
  150      6.8840      1.3189      3.8101      0.0019       7      1.0167
  151      5.1434      1.5052      0.0646      0.0021       4      0.9769
  152      5.4320      1.1116      0.8395      0.0246       4      0.6052
  153      5.4271      1.5052      0.0646      0.0025      12      1.0106
  154      6.4493      4.5978      0.0000      0.0014       7      0.4536
  155      7.3738      2.4040      3.7456      0.0242       3      0.0338
  156      7.0001      3.6653      1.4853      0.0054       2      0.4583
  157      7.1101      4.1029      1.4207      0.0240       2      0.0423
  158      7.3578      4.2132      1.8728      0.0058       2      0.4898
  159      7.6065      4.1029      1.4207      0.0047       2      0.4651
  160      7.9412      2.4040      3.7456      0.0208       3      0.5875
  161      7.7484      4.1029      1.4207      0.1268       2      0.6067
  162      6.6298      3.0436      0.0000      0.0025       9      0.4506
  -------------------------------------------------------------------------
