StructureID|AtomID|DFT_Fx|DFT_Fy|DFT_Fz|NN_Fx|NN_Fy|NN_Fz
0|30|-0.358406|-0.677639|0.721625|-1.3814435|1.1544741|0.95329523
0|31|-0.213328|-0.679327|0.787472|-1.4729767|0.66853255|1.6846113
0|32|-1.572492|-1.669242|-1.773137|0.018740945|-0.06992572|-0.94750154
0|33|-0.44431|-1.091209|-2.405807|0.9054612|-0.18102084|-1.115335
0|34|-0.607312|-0.9491|-2.45064|0.7438964|-0.15813257|-0.8235309
0|35|-0.459639|-1.035725|-2.351939|0.6318258|-0.119626686|-1.5039952
0|36|-0.568428|-1.043856|-2.281884|0.8748838|0.3186074|-0.8305502
0|37|-0.348932|-1.294257|-2.316919|0.5971154|-0.5503013|-1.6792924
0|38|-0.436247|-1.055143|-2.279243|1.3676956|0.24387807|-0.66412866
0|39|-0.408282|-1.078363|-2.248483|0.7341531|0.02209118|-0.7075901
0|40|1.738867|0.386288|1.678966|0.13430752|0.013873674|0.48989064
0|41|1.361124|1.279755|0.747972|0.34647912|0.3099233|0.32611337
0|42|1.346547|0.905034|1.234796|0.49912995|0.6466564|0.65466547
0|43|1.310483|1.032032|1.072011|1.4140171|0.39415345|1.1089289
0|44|1.007257|1.151699|1.116699|-0.45239598|0.3502958|0.65040016
0|45|1.225116|1.114234|1.030899|0.17801706|0.119870536|0.599469
0|46|1.30369|0.945683|1.100433|0.9570646|0.36558026|1.0394027
0|47|1.375231|1.005746|1.20677|0.07766194|0.189791|1.2667363
0|48|-1.593752|1.874519|-0.878883|-0.40672112|-0.064864844|0.022287577
0|49|-1.573806|1.818494|-0.857702|0.027987279|0.53738374|-0.3127212
0|50|-1.377997|1.716881|-0.971554|-0.028611466|0.37009376|-0.40245357
0|51|-1.231897|1.547325|-0.546338|-0.81936365|0.06674433|-0.03991936
0|52|-1.62955|1.785944|-0.861807|-0.78018224|0.5020243|-0.06584316
0|53|-1.659511|1.537955|-0.888787|-0.6966914|0.020120785|-0.7339095
0|54|-1.373137|1.480892|-1.062126|-0.18576035|-0.12729253|0.2822474
0|55|-1.484318|1.643333|-0.843257|0.109986454|0.16427957|-0.14338389
0|56|0.314201|1.339752|-0.185623|0.38754672|0.1701087|-0.016380781
0|57|0.15588|1.27195|-0.024486|0.26254383|0.49615586|0.34803694
0|58|0.281546|1.198224|0.501276|-0.18497384|0.3116711|-0.10050432
