StructureID|AtomID|DFT_Fx|DFT_Fy|DFT_Fz|NN_Fx|NN_Fy|NN_Fz
2|303|-0.188423|1.711194|-1.01875|-0.20328155|1.6497781|-1.673319
2|304|0.024229|-1.119764|0.664117|-0.11422065|-0.9862276|0.29323578
2|305|0.136677|-0.973473|0.635801|0.1721485|-0.60663056|1.1541278
2|306|0.008275|-1.123842|0.653257|-0.27400824|-0.58606684|0.48309857
2|307|0.024591|-1.116467|0.705527|-0.01600194|-0.79183656|0.80122244
2|308|0.048177|-1.043697|0.628736|-0.17773679|-0.9928416|0.32545656
2|309|0.145107|-1.115403|0.677119|0.20635182|-0.65858907|1.0946865
2|310|0.051587|-1.100941|0.637376|0.30022654|-0.85195255|0.5790628
2|311|0.14421|-1.083202|0.735562|0.37924415|-0.5745864|0.8901614
2|312|0.812815|-1.563307|0.999961|0.72318155|-1.798882|0.9251819
2|313|0.83333|-1.478629|1.183047|0.90247184|-2.1198196|1.3824495
2|314|0.799709|-1.568136|0.956759|0.80156326|-1.894406|0.8865258
2|315|0.846637|-1.574426|1.196415|0.9221035|-2.1431293|1.3036444
2|316|0.817518|-1.587998|0.990764|0.8700651|-2.3253298|1.4148177
2|317|0.950375|-1.570298|1.133505|1.2098515|-1.9904914|1.3256857
2|318|0.812707|-1.617876|0.950528|0.8132074|-1.5731297|1.051133
2|319|0.778065|-1.462318|0.993571|0.772099|-2.1936784|1.2412883
2|320|0.24965|-1.906481|1.010568|0.41810396|-1.5201309|1.6910828
2|321|0.160278|-1.739321|1.016926|0.24749358|-1.7446561|1.8076688
2|322|0.158489|-1.833835|0.838296|0.4601545|-2.1553035|1.4339967
2|323|0.16455|-1.837501|0.994932|0.02472917|-1.6002467|1.7988228
2|324|0.33242|-1.902867|0.952096|-0.09140511|-1.6216726|1.374893
2|325|0.178087|-1.796862|1.024869|0.16139859|-1.7063706|1.7777958
2|326|0.276094|-1.882954|0.894261|0.5274993|-1.5010731|1.3117334
2|327|0.188423|-1.711194|1.01875|0.20328404|-1.6497874|1.6733196
2|328|-0.024229|1.119764|-0.664117|0.11422796|0.98622787|-0.2932401
2|329|-0.136677|0.973473|-0.635801|-0.17214584|0.60663307|-1.1541195
2|330|-0.008275|1.123842|-0.653257|0.27399155|0.5860678|-0.48309886
2|331|-0.024591|1.116467|-0.705527|0.015990406|0.7918279|-0.80122364
2|332|-0.048177|1.043697|-0.628736|0.17772257|0.9928442|-0.32545853
2|333|-0.145107|1.115403|-0.677119|-0.20634726|0.6585733|-1.094686
2|334|-0.051587|1.100941|-0.637376|-0.30024904|0.85194904|-0.5790683
2|335|-0.14421|1.083202|-0.735562|-0.37923878|0.5745753|-0.890154
2|336|-0.0|-0.0|0.0|-1.518114e-06|-1.9497093e-06|2.2262102e-06
2|337|-0.0|-0.0|0.0|-2.7511269e-06|2.4647452e-06|-2.7189963e-06
2|338|-0.0|-0.0|0.0|4.2840838e-07|-1.7713755e-06|-3.594905e-07
2|339|-0.0|-0.0|0.0|5.96093e-06|3.8910657e-06|3.1708623e-06
2|340|-0.0|-0.0|0.0|-9.210897e-06|-6.5476634e-06|-3.8621947e-06
2|341|-2.308916|1.206255|-1.562641|-2.513181|1.6202662|-1.6987921
2|342|-2.178223|1.687602|-1.699031|-2.5876358|1.8072722|-1.7407501
2|343|-2.30129|1.183312|-1.541341|-2.448865|1.7976432|-1.8878243
2|344|-2.245594|1.734434|-1.660436|-2.737666|1.7043045|-1.9024599
2|345|-2.386634|1.304413|-1.619824|-2.5788407|1.692359|-1.8090693
2|346|-2.237861|1.648579|-1.629706|-2.561553|1.7356726|-1.9792483
2|347|-2.296089|1.778876|-1.430358|-2.7574081|2.043924|-1.2798786
2|348|-2.23943|1.651805|-1.446263|-2.7031503|1.881012|-1.2784936
2|349|2.308916|-1.206255|1.562641|2.513182|-1.6202614|1.6987793
2|350|2.178223|-1.687602|1.699031|2.587632|-1.807271|1.740749
2|351|2.30129|-1.183312|1.541341|2.4488614|-1.7976403|1.8878196
2|352|2.245594|-1.734434|1.660436|2.7376633|-1.7043159|1.9024706
2|353|2.386634|-1.304413|1.619824|2.578851|-1.6923479|1.8090734
2|354|2.237861|-1.648579|1.629706|2.561554|-1.735665|1.9792557
2|355|2.296089|-1.778876|1.430358|2.7574058|-2.0439258|1.2798843
2|356|2.23943|-1.651805|1.446263|2.703139|-1.8810298|1.2784925
2|357|-0.0|-0.0|0.0|7.8836456e-07|2.582383e-07|3.191817e-07
2|358|-0.0|-0.0|0.0|2.566725e-06|2.1420419e-07|-3.2701491e-06
2|359|-0.0|-0.0|0.0|-8.256175e-06|-1.0309741e-05|-4.406029e-06
3|360|1.393883|-0.197575|-0.655714|1.8462985|-0.08260101|-1.1761287
3|361|1.127515|0.017307|-0.401853|1.3178122|0.5209618|-1.01113
3|362|1.445074|-0.22976|-0.594712|1.6385473|0.008341968|-1.1830932
3|363|1.081387|-0.016798|-0.485766|1.2468401|0.56226665|-1.058209
3|364|1.430184|-0.267094|-0.670545|1.7383435|-0.06029971|-1.2856655
3|365|1.087063|0.025657|-0.42446|1.3317759|0.69745654|-1.0760599
3|366|1.064674|-0.027095|-0.611859|1.2243433|0.6809636|-1.1941872
3|367|1.091201|0.033281|-0.62539|1.3331496|0.54598266|-1.0445054
3|368|0.70273|0.258421|1.639375|0.6273813|0.37493593|1.1336031
3|369|0.720031|0.356715|1.133256|0.3087039|0.6114676|0.93711555
3|370|0.648886|0.288061|1.581801|0.31848752|0.4057535|1.1459085
3|371|0.681015|0.360282|1.068766|0.19581531|0.91738003|0.60336536
3|372|0.639577|0.272061|1.68106|0.4429207|0.3855292|1.2501011
